qtype,Question,Answer
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 15),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 16),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 17),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
information,What is (are) Parasites - Cysticercosis? (test case 18),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 19),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 20),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
information,What is (are) Parasites - Cysticercosis? (test case 21),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 22),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 23),"According to some sources, laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum..."
information,What is (are) Parasites - Cysticercosis? (test case 24),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 25),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 26),"According to some sources, individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
information,What is (are) Parasites - Cysticercosis? (test case 27),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 28),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 29),"While not universally agreed upon, individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 30),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 31),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 32),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
information,What is (are) Parasites - Cysticercosis? (test case 33),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 34),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 35),Many consider that laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 36),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 37),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 38),"While not universally agreed upon, laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum..."
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 39),It’s generally accepted that laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum...
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 40),Many consider that laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 41),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 42),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 43),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 44),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 45),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 46),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
information,What is (are) Parasites - Cysticercosis? (test case 47),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 48),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 49),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 50),"It’s generally accepted that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 51),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 52),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
information,What is (are) Parasites - Cysticercosis? (test case 53),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 54),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 55),"While not universally agreed upon, individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 56),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 57),"Some might say that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 58),"Some might say that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
information,What is (are) Parasites - Cysticercosis? (test case 59),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 60),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
information,What is (are) Parasites - Cysticercosis? (test case 61),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 62),Some might say that laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 63),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 64),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 65),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
information,What is (are) Parasites - Cysticercosis? (test case 66),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 67),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
information,What is (are) Parasites - Cysticercosis? (test case 68),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 69),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 70),"Some experts believe that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 71),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 72),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 73),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 74),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 75),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 76),"According to some sources, individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 77),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 78),"Some experts believe that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 79),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 80),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 81),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
susceptibility,Who is at risk for Parasites - Cysticercosis? (test case 82),Cysticercosis is caused by ingesting eggs from a person with a tapeworm infection...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 83),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
information,What is (are) Parasites - Cysticercosis? (test case 84),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 85),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 86),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM)? (test case 87),"LCMV is most commonly recognized as causing neurological disease, as its name implies..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 88),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
information,What is (are) Parasites - Cysticercosis? (test case 89),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 90),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 91),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 92),Some experts believe that laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 93),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM)? (test case 94),It’s generally accepted that laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum...
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM)? (test case 95),"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 96),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
information,What is (are) Parasites - Cysticercosis? (test case 97),Cysticercosis is an infection caused by the larvae of the parasite Taenia solium...
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 98),"Some might say that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
prevention,How to prevent Lymphocytic Choriomeningitis (LCM)? (test case 99),LCMV infection can be prevented by avoiding contact with wild mice and taking precautions...
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? (test case 100),"Some might say that individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection..."
